Timestamp,Tahukah anda bahwa rel kereta api di buat renggang pada sambungannya? Mengapa?,Kupu-kupu dapat melakukan metamorfosis. Apa itu metamorfosis?,Apakah kemampuan pertahanan diri pada binatang bunglon?,Mengapa bisa terjadi siang dan malam?,Kapur barus pada lemari semakin lama akan habis karena menyublim. Jelaskan apa itu menyublim?,Apa itu pertumbuhan dan perkembangan pada mahkluk hidup?,Kayu yang berada dalam air akan mengambang. Mengapa begitu?,Mengapa bola yang dilempar ke atas akan selalu jatuh ke bawah?
15/01/2021 19:05:47,Agar kereta bisa lewat,Perubahan atau berkembang,Berubah warna,Adanya rotasi bumi,Peleburan,Pertumbuhan semakin besar perkembangan semakin banyak,Berbeda masa jenis,Karna adanya gravitasi bumi
15/01/2021 19:08:45,Karena besi memuai,Siklus hidup,Mimikri,Karena bumi berotasi,Zat padat berubah menjadi gas,"Pertumbuhan yaitu perubahan bentuk makhluk hidup yang dapat diukur dengan angka, sedangkan perkembangan pada makhluk hidup tidak dapat diukur dengan angka",Karena beratnya lebih ringan,Karena adanya gravitasi
15/01/2021 19:10:44,"tahu, karena saat panas siang hari besi pada rel akan memuai. ruang yang renggang diperlukan saat besi tsb memuai",siklus hidup yang ditandai dengan perubahan bentuk yang berbeda,dapat berubah warna,karena bumi berotasi,perubahan benda padat menjadi gas,"pertumbuhan adalah proses bertambahnya ukuran, jika perkembangan proses menuju kedewasaan",karena massa kayu lebih ringan daripada air,karena ada gaya gravitasi bumi
15/01/2021 19:22:49,"Karena pada siang hari sinar matahari menyebabkan besi rel kereta memuai sehingga memerlukan tempat untuk menjadi panjang, dengan di buat renggang maka akibat pemuaian tidak menyebabkan rel bengkok.",Suatu proses perkembangan biologi pada hewan yang melibatkan perubahan penampilan fisik dan/atau struktur setelah kelahiran atau penetasan. Perubahan fisik itu terjadi akibat pertumbuhan sel dan diferensiasi sel yang secara radikal berbeda.,Merubah warna kulitnya,"Rotasi bumi adalah bumi berputar pada porosnya selama kurag lebih 24 jam. Rotasi bumi berakibat, sebagian bumi yang terkena sinar matahari, disebut siang, dan sebagian tidak terkena sinar matahari, disebut malam.",Perubahan wujud dari padat menjadi gas.,"Pertumbuhan adalah proses bertambahnya ukuran, volume, dan massa yang bersifat tak dapat diubah. Pertumbuhan biasanya berhubungan dengan keadaan fisik, seperti bertumbuh menjadi besar. Sedangkan perkembangan adalah suatu proses menuju kedewasaan. Perkembangan yang terjadi pada makhluk hidup akan muncul secara alamiah.","Semakin besar massa jenis suatu benda dibandingkan air, maka ia akan tenggelam ketika dicelupkan ke dalamnya. Sedangkan semakin kecil massa jenisnya dibandingkan dengan air, benda itu akan mengapung diatasnya. ",Karena adanya gravitasi
15/01/2021 19:31:54,Karena supaya tidak ada tabrakan,Perubahan,Berubah warna ,Karena bumi mengelilingi matahari ,Menyublim adalah suatu keadaan yang tidak ada oksigen yang lama kelamaan akan habis,"Pertumbuhan adalah suatu bertumbuh dari kecil sampai dewasa, sedangkan perkembangan adalah suatu berkembang sampai waktunya ",Karena ada tekanan di dalam udara,Karena ada gravitasi
15/01/2021 19:33:35,Karena akan memuai pada siang hari,perkembangan bentuk hewan,Berubah warna,Karena adanya rotasi bumi,perubahan dari benda padat menjadi gas,"Pertumbuhan berhubungan dengan keadaan fisik, sedangkan perkembangan proses menuju kedewasaan",karena massa jenis kayu kecil,Adanya gravitasi
15/01/2021 19:33:45,tahu. karena jika tidak dibuat renggang akan mengakibatkan tidak adanya ruang untuk pemuaian,-,berubah warna atau kamuflase,karena bumi berotasi,perubahan benda padat menjadi gas,-,massa jenis kayu lebih ringan daripada massa jenis air,karena adanya gaya gravitasi
15/01/2021 19:34:35,Menghindari pemuaian pada siang hari.,Perubahan pada hewan untuk mencapai kedewasaan. Pada kupu-kupu sendiri adalah perubahan dari ulat menjadi kupu-kupu melalui tahap kepompong.,Mimikri.,Adanya rotasi bumi.,Perubahan dari zat padat ke gas.,"Pertumbuhan adalah perubahan pada makhluk hidup yang dapat diukur secara kuantitatif dan bersifat irreversible, serta terjadi karena adanya pertambahan ukuran pada sel tubuh, seperti pertambahan tinggi atau berat. Perkembangan adalah perubahan pada makhluk hidup yang menandai proses menuju kedewasaan yang dapat diukur secara kualitatif dan bersifat reversible, ditandai dengan matangnya organ-organ reproduksi.",Karena kayu memiliki serat.,Adanya gravitasi.
15/01/2021 19:36:10,mengantisipasi pemuaian pada rel kereta api ,"perubahan wujud hidup suatu mahluk hidup dari telur, ulat, pupa, hingga kupu-kupu dewasa",kamuflase,"karena bumi berotasi (berputar pada porosnya), sehingga seolah matahari berpindah dari timur ke barat",kondisi di mana zat benda padat berubah menjadi gas. biasanya terjadi karena adanya perubahan atau perpindahan kalor zat benda,"pertumbuhan adalah bertambahnya quantity suatu mahluk hidup, dapat diukur melalui tinggi badan ataupun berat bedan
perkembangan adalah proses meningkatnya fungsi mahluk hidup. tidak dapat diukur secara kuantitas, namun dapat dilihat seperti bagaimana bayi yang awalnya merangkak bisa berjalan dan berlari",karena masa jenis kayu tidak lebih berat dibanding tegangan permukaan air,"adanya gaya gravitasi bumi yang akan menarik benda ke inti bumi sehingga bola yang dilempar menjauhi permukaan bumi, akan jatuh kembali ke permukaan bumi karena adanya gravitasi bumi"
15/01/2021 19:37:47,"Tahu, agar ketika rel mengalami pemuaian tidak menimbulkan bahaya untuk kereta yang berjalan",Proses perubahan dari larva sampai jadi kupu kupu,Berubah warna sesuai tempat (mimikri),Bumi berputar pada porosnya,Perubahan benda padat menjadi gas,"Pertumbuhan adalah pertambahan ukuran yang dapat diukur secara kuantitatif. 
Perkembangan adalah pertambahan dalam diri manusia yang tidak dapat dihitung secara kuantitatif.",Karena kayu lebih ringan dari air,Karena adanya gravitasi bumi.
15/01/2021 19:39:57,Karena saat panas rel kereta api bisa bertambah ukuran,Sempurna ,Mimikri,Karena terjadi perputaran bumi,Berubahnya zat padat menjadi gas yang bercampur di udara,Pertumbuhan adalah bertambahnya ukuran yang dapat diukur dan tidak dapat berubah. Perkembangan adalah bertambahnya ukuran namun dapat berubah seiring berjalannya waktu,Karena massa kayu lebih ringan daripada massa air,Karena adanya gaya gravitasi
15/01/2021 19:42:34,Karena pada siang hari rel besi memuai sehingga perlu tempat untuk jadi panjang ,Proses perkembangan pada hewan,Mimikri,Adanya rotasi bumi,Perubahan bentuk wujud dari padat menjadi gas,"Pertumbuhan artinya bertambah ukuran berat badan dan tinggi badan. 
Perkembangan berarti perubahan emosi dan pikiran menjadi lebih dewasa",Gaya apung> Dari gaya gravitasi,Adanya gaya gravitasi
15/01/2021 19:42:35,Agar ada ruang untuk memuai ketika terkena panas,Berubah bentuk,Kamuflase,Rotasi bumi,Perubahan benda padat ke gas,Proses menjadi dewasa,Massa jenis kayu ringan,Gaya gravitasi
15/01/2021 19:45:41,Agar tidak memuai saat suhu tinggi,Siklus perubahan suatu makhluk hidup di mana fisik pada fase larvanya berbeda dengan fisik pada fase dewasanya,Kamuflase,Karena bumi melakukan rotasi sehingga terjadi perubahan siang dan malam,Perubahan fase jenis benda dari padat ke uap,Perubahan-perubahan yang terjadi pada makhluk hidup menuju tingkat kedewasaan,Karena massa jenis kayu lebih kecil daripada massa jenis air,Karena adanya gravitasi yang merupakan gaya tarik bumi
15/01/2021 19:47:02,"Tahu, gunanya untuk memberi ruang ketika melar saat panas.",perubahan bentuk tubuh pada pertumbuhan.,perubahan warna kulit.,karena bumi berputar pada porosnya.,perubahan benda padat menjadi uap.,proses perubahan makhluk hidup dari kecil hingga besar.,kayu akan menyerap air.,karena bola terpengaruh oleh gaya gravitasi.
15/01/2021 19:47:35,Krn rel kereta yg terkena panas matahari nanti akan memuai dan memanjang,Perubahan bentuk mahluk hdp yg trdpt fase kepompong,Mimikri,Karena bumi berotasi ,Benda padat ke gas,Mahluk hdp dpt tumbuh dan berkembang,Krn akan menyerap air sehingga kayu akan mengembang Krn bermuatan air,Krn adanya gaya gravitasi
15/01/2021 19:49:20,Material pada rel kereta api cenderung memuai ketika terkena kalor contohnya terkena sinar matahari sehingga tujuan direnggangkannya rel kereta adalah agar ketika rel memuai tidak bertabrakkan dengan rel di sekitarnya.,pertumbuhan suatu makhluk hidup hewan yang memengaruhi bentuk fisiknya,mimikri,karena rotasi bumi,perubahan wujud partikel padat menjadi gas,"pertumbuhan dapat dilihat dari bertambahnya berat badan, tinggi badan, ukuran kaki (sesuatu yg bisa dilihat oleh mata), sementara perkembangan merupakan progres yang tak terlihat oleh mata (kemampuan membaca, kemampuan berbahasa asing)",massa jenis air lebih besar daripada massa jenis kayu,pengaruh gravitasi bumi yaitu menarik benda menuju inti bumi
15/01/2021 19:51:07,Karena berpengaruh jika terjadi pemuaian,Metamofosis adalah  siklus pembentukan hewan dari telur hingga menjadi bentuk yg sempurna,Kamuflase. Dengan mengubah warna kulit,Terjadi karena putaran rotasi bumi,Meleburnya benda padat karena udara,.,Karna massa air lebih berat dari massa kayu,Karena pengaruh gaya gravitasi
15/01/2021 19:55:05,tidak bengkok waktu memuai,perubahan bentuk hewan dari masih kecil sampai menjadi dewasa,berubah warna,karena adanya rotasi bumi,berubahnya benda dari padat menjadi gas,proses menuju kedewasaan,"karena massa jenis air lebih besar daripada kayu, dan kerapatan air juga lebih rapat daripada kayu",karena adanya gravitasi
15/01/2021 20:00:15,"Tahu. Dibuat renggang agar ketika suhu meningkat (krn panas) dan terjadi pemuaian, relnya tidak melengkung keatas",Metamorfosis adalah proses perubahan serangga dari telur hingga dewasa,Mimikri,Karena bumi berotasi ketika mengelilingi matahari,Proses perubahan wujud dari padat menjadi gas,Pertumbuhan adalah peningkatan jumlah sel dalam tubuh. Perkembangan adalah proses pemisahan sel sesuai dengan fungsinya.,Karena massa air lebih besar daripada kayu,"Karena bumi memiliki gaya gravitasi (9,8 g/m²)"
15/01/2021 20:13:38,Karena adanya proses pemuaian jika terkena panas di siang hari,Perubahan bentuk tubuh pada hewan,Kamuflase/mimikri,Karena pergerakan rotasi bumi pada porosnya,Perubahan wujud zat padat menjadi gas,Proses pendewasaan makhluk hidup,Karena massa jenis kayu lebih kecil dibandingkan massa jenis air,Karena adanya gaya gravitasi bumi
15/01/2021 20:20:24,"tahu, untuk mengantisipasi terjadinya pemuaian saat siang hari. karena kalau tidak diberi ruang pemuaian, maka rel tersebut akan melengkung.",metamorfosis yaitu proses perkembangan biologi pada hewan yang melibatkan perubahan penampilan fisik (bentuk) dan/atau struktur setelah kelahiran atau penetasan.,mimikri (mengganti warna kulitnya),karena bumi mengalami rotasi.,menyublim yaitu peristiwa perubahan wujud benda padat menjadi gas.,"pertumbuhan adalah proses bertambahnya ukuran, volume, dan massa yang bersifat tak dapat diubah. sedangkan perkembangan adalah suatu proses menuju kedewasaan. ","karena massa jenis pada kayu lebih kecil dari air. semakin besar massa jenis suatu benda dibandingkan air, maka ia akan tenggelam ketika dicelupkan ke dalamnya. sedangkan semakin kecil massa jenisnya dibandingkan dengan air, benda itu akan mengapung diatasnya.",karena adanya gravitasi bumi yang mengakibatkan benda yang dilempar ke atas akan jatuh kebawah.
15/01/2021 20:30:27,tidak tahu,perubahan bentuk,mimikri,rotasi bumi,perubahan wujud dari padat menjadi gas,perubahan fisiologis dan morfologis,kayu memiliki massa jenis lebih ringan daripada air,gravitasi bumi
15/01/2021 20:54:41,agar relnya tidak membengkok ketika terjadi penambahan zat,metamorfosis adalah perubahan bentuk yang terjadi pada kupu kupu dimana tadinya seekor ulat menjadi kupu-kupu.,dapat mengubah warna ,agar kita bisa beristirahat di malam hari dan beraktivitas di siang hari hal ini juga terjadi karena bumi memutari matahari sehingga bagian yang disinari matahari akan menjadi siang sedangkan yang tidak akan menjadi malam,menyublim ada perubahan zat dari benda padat menjadi gas,pertumbuhan dan perkembangan pada makhluk hidup adalah perubahan bentuk dan perilaku seseorang.,karena massa kayu lebih ringan dibandingkan massa air.,karena adanya gaya gravitasi
15/01/2021 20:54:45,memudahkan terjadinya pemuaian.,proses perkembangan biologi pada hewan berupa perubahan bentuk dari lahir hingga dewasa.,mimikri.,"karena bumi berputar, sehingga bagian yang terkena sinar matahari disebut siang dan bagain yang tidak terkena sinar matahari disebut malam.",perubahan wujud padat menjadi gas.,pertambahan ukuran dan proses menuju kedewasaan.,massa jenis kayu lebih kecil daripada massa jenis air.,karena adanya gaya gravitasi
15/01/2021 20:56:43,Untuk menghindari pemuaian di siang hari,Perkembangan hewan yang menyebabkan berubahnya fisik ,Berubah warna sesuai dengan lingkungan sekitarnya,"Karena bumi berotasi mengelilingi matahari. Bagian bumi yang terkena cahaya matahari akan mengalami siang, sedangkan bagian bumi yang tidak terkena cahaya akan mengalami malam",Perubahan wujud dari bentuk padat menjadi gas,Bertumbuhnya makhluk hidup,Karena massa jenis kayu lebih kecil dari massa jenis air sehingga bisa mengapung,Karena ada gaya gravitasi
15/01/2021 20:58:46,untuk mewaspadai pemuaian saat suhu naik,perubahan fisik pada hewan saat mengalami masa pertumbuhan,mimikri,"karena adanya rotasi bumi,yaitu bumi berputar pada porosnya",perubahan wujud benda dari padat menjadi gas,yaitu perubahan fisik atau kemampuan pada hewan(?),karena gaya apung kayu lebih besar daripada gaya gravitasi,karena adanya gaya gravitasi
15/01/2021 21:02:25,"Karena pada rel kereta api dapat terjadi pemuaian, maka hal itu dibuat agar saat memuai rel kereta tidak melengkung keatas dan membahayakan kereta yang melintas",Metamorfosis adalah perubahan bentuk makhluk hidup di masa pertumbuhannya,Mimikri,"Karena adanya rotasi bumi dari pusatnya, daerah yang terpapar sinar matahari menjadi siang, dan yang tidak terkena cahaya matahari adalah malam",Menyublim adalah perubahan wujud dari padat menjadi gas ,"Pertumbuhan dan perkembangan pada makhluk hidup adalah tumbuh nya makhluk hidup dari yang semula kecil dan sel nya masih sedikit, berkembang menjadi besar dan kuat ",Karena adanya perbedaan massa jenis,Karena adanya gaya gravitasi
15/01/2021 21:06:10,"iya, utk mencegah pemuaian pada siang hari",Metamorfosis adalah proses perkembangan hewan yang melibatkan perubahan bentuk fisik,Mimikri,Karena terjadi rotasi bumi ,Menyublim adalah perubahan wujud dari padat ke gas ,"Pertumbuhan adalah pertambahan jumlah dan ukuran  sel dalam tubuh, perkembangan adalah proses menuju ke kedewasaan",Karena massa jenis benda < massa jenis air ,Karena terdapat gaya gravitasi 
15/01/2021 21:18:59,agar pada saat panas msh ada ruang utk memuai,Perubahan bentuk tubuh ,Mimikri,Rotasi bumi,Perubahan bentuk dari padat menjadi gas,"Pertumbuhan: bisa dinyatakan dalam angka (terkait volume, ukuran, jumlah)
Perkembangan: terkait fungsi tubuh",Massa jenis kayu lebih kecil dari air,Ada gaya gravitasi
15/01/2021 21:41:59,Agar kereta bisa lewat,Perubahan atau berkembang,Berubah warna,Adanya rotasi bumi,Peleburan,Pertumbuhan semakin besar perkembangan semakin banyak,Berbeda masa jenis,Karna adanya gravitasi bumi
15/01/2021 22:39:39,"Tahu, untuk mengantisipasi pemuaian yang dapat terjadi. ",Perubahan bentuk yang terjadi dalam siklus  suatu makhluk hidup,Mimikri,Rotasi bumi,Perubahan bentuk dari padat ke gas ,Pertumbuhan adalah perubahan makhluk hidup secara kuantitatif dan tidak bisa kembali ke awal sedangkan perkembangan adalah perubahan makhluk hidup secara kualitatif,Masa jenis kayu lebih ringan/kecil dari masa jenis air ,Gravitasi bumi
16/01/2021 6:06:49,Tidak tau,Perubahan bentuk dari telur menjadi kupu-kupu,Mengubah warna,Karena bumi berputar,Pelepasan partikel ,"Pertumbuhan itu proses bertambah nya massa, ukuran sedangkan perkembangan proses menuju dewasa",Karena massa jenis air lebih besar,Karena ada gaya tarik bumi atau gravitasi
16/01/2021 12:25:03,memuai,perubahan bentuk,kamuflase,rotasi bumi,padat jadi gas,proses biologis,massa air lebih besar,gravitasi
16/01/2021 21:06:21,Supaya menghindari terjadinya pemuaian.,Perubahan bentuk tubuh yang berbeda dari saat pertama kali telur menetas,Kamuflase mimikri,Karena adanya rotasi bumi,Menyublim adalah perubahan dari benda padat menjadi gas,"Perkembangan adalah perubahan sifat dan emosi, sedangkan pertumbuhan adalah terjadinya perubahan bentuk fisik seperti bertambahnya ukuran berat dan tinggi mahluk hidup",Karena massa jenis kayu lebih kecil daripada air,Karena adanya gaya gravitasi
